Train No.	San Francisco	22nd Street	Bayshore	South San Francisco	San Bruno	Millbrae	Broadway	Burlingame	San Mateo	Hayward Park	Hillsdale	Belmont	San Carlos	Redwood City	Atherton	Menlo Park	Palo Alto	California Ave	San Antonio	Mountain View	Sunnyvale	Lawrence	Santa Clara	College Park	San Jose Diridon	Tamien	Capitol	Blossom Hill	Morgan Hill	San Martin	Gilroy	San Jose
192	8:30 PM	8:34 PM	8:39 PM	8:46 PM	8:50 PM	8:56 PM		9:01 PM	9:04 PM	9:08 PM	9:11 PM	9:15 PM	9:18 PM	9:23 PM		9:28 PM	9:32 PM	9:35 PM	9:39 PM	9:44 PM	9:49 PM	9:53 PM	9:58 PM		10:06 PM	10:11 PM						
258	3:34 PM				3:46 PM	3:51 PM		3:56 PM	3:59 PM		4:04 PM	4:08 PM	4:11 PM	4:16 PM		4:22 PM	4:26 PM	4:29 PM	4:34 PM	4:38 PM	4:44 PM	4:48 PM	4:53 PM		5:03 PM	5:08 PM						
278	5:58 PM			6:09 PM		6:15 PM					6:23 PM			6:33 PM		6:39 PM	6:43 PM	6:46 PM	6:50 PM	6:55 PM	7:00 PM	7:05 PM	7:12 PM		7:24 PM	7:29 PM						
134	9:00 AM	9:05 AM	9:10 AM	9:17 AM	9:21 AM	9:25 AM		9:29 AM	9:32 AM	9:36 AM	9:39 AM	9:43 AM	9:46 AM	9:51 AM		9:56 AM	10:00 AM	10:04 AM	10:08 AM	10:13 AM	10:18 AM	10:22 AM	10:27 AM		10:35 AM							
264	4:32 PM	4:36 PM	4:41 PM	4:52 PM	4:55 PM	5:00 PM		5:05 PM	5:08 PM	5:12 PM	5:15 PM	5:19 PM	5:22 PM	5:28 PM		5:34 PM				5:42 PM	5:47 PM		5:54 PM		6:02 PM							
138	10:00 AM	10:04 AM	10:09 AM	10:16 AM	10:20 AM	10:25 AM		10:29 AM	10:32 AM	10:36 AM	10:39 AM	10:43 AM	10:46 AM	10:51 AM		10:56 AM	11:00 AM	11:04 AM	11:08 AM	11:13 AM	11:18 AM	11:22 AM	11:28 AM		11:35 AM							
268	4:58 PM			5:09 PM		5:15 PM					5:23 PM			5:33 PM		5:39 PM	5:43 PM	5:46 PM	5:50 PM	5:55 PM	6:00 PM	6:06 PM	6:13 PM		6:24 PM	6:29 PM	6:36 PM	6:42 PM	6:55 PM	7:01 PM	7:14 PM	
386	6:38 PM					6:53 PM			6:59 PM					7:08 PM			7:15 PM				7:28 PM				7:43 PM	7:48 PM						
142	11:00 AM	11:04 AM	11:09 AM	11:16 AM	11:20 AM	11:25 AM		11:29 AM	11:32 AM	11:36 AM	11:39 AM	11:43 AM	11:46 AM	11:51 AM		11:56 AM	12:00 AM	12:04 AM	12:08 AM	12:13 AM	12:18 AM	12:22 AM	12:28 AM		12:35 AM							
272	5:27 PM				5:40 PM			5:46 PM	5:50 PM		5:54 PM		6:00 PM				6:08 PM	6:12 PM		6:19 PM	6:24 PM		6:31 PM		6:38 PM							
